date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Bank Top,E05001553,1658,143,401,468,646
2011,Central,E05001554,12787,2268,4101,3133,3285
2011,Cockerton East,E05001555,1578,245,437,398,498
2011,Cockerton West,E05001556,1565,149,307,381,728
2011,College,E05001557,1636,623,461,283,269
2011,Eastbourne,E05001558,1911,153,419,473,866
2011,Faverdale,E05001559,3082,572,908,868,734
2011,Harrowgate Hill,E05001560,1854,264,504,547,539
2011,Haughton East,E05001561,1845,259,393,517,676
2011,Haughton North,E05001562,1210,184,325,273,428
2011,Haughton West,E05001563,1464,175,354,382,553
2011,Heighington and Coniscliffe,E05001564,1989,504,559,468,458
2011,Hummersknott,E05001565,1311,488,388,249,186
2011,Hurworth,E05001566,1741,398,552,468,323
2011,Lascelles,E05001567,1591,119,312,413,747
2011,Lingfield,E05001568,6676,1233,2308,1511,1624
2011,Middleton St George,E05001569,2457,538,789,635,495
2011,Mowden,E05001570,1776,433,864,271,208
2011,North Road,E05001571,2823,248,652,721,1202
2011,Northgate,E05001572,5510,1206,1874,1049,1381
2011,Park East,E05001573,3132,445,659,747,1281
2011,Park West,E05001574,1199,423,385,218,173
2011,Pierremont,E05001575,1763,245,462,428,628
2011,Sadberge and Whessoe,E05001576,6912,1317,2539,1608,1448
2011,Annfield Plain,E05007955,4800,536,1080,1425,1759
2011,Aycliffe East,E05007956,10256,1621,2417,2889,3329
2011,Aycliffe North,E05007957,3597,613,1009,781,1194
2011,Aycliffe West,E05007958,2568,284,522,546,1216
2011,Barnard Castle East,E05007959,6170,1383,1598,1621,1568
2011,Barnard Castle West,E05007960,4094,829,1238,1255,772
2011,Belmont,E05007961,3486,734,1092,810,850
2011,Benfieldside,E05007962,2325,456,720,538,611
2011,Bishop Auckland Town,E05007963,7955,1326,2203,1955,2471
2011,Blackhalls,E05007964,2809,257,616,778,1158
2011,Brandon,E05007965,6299,953,1670,1736,1940
2011,Burnopfield and Dipton,E05007966,3249,527,897,769,1056
2011,Chester-le-Street North and East,E05007967,4794,952,1523,1192,1127
2011,Chester-le-Street South,E05007968,2282,471,674,503,634
2011,Chester-le-Street West Central,E05007969,4660,612,1262,1158,1628
2011,Chilton,E05007970,4383,511,1004,1277,1591
2011,Consett North,E05007971,6570,1008,1884,1692,1986
2011,Coundon,E05007972,4274,521,1042,1135,1576
2011,Coxhoe,E05007973,2794,348,680,799,967
2011,Craghead and South Moor,E05007974,2743,203,549,710,1281
2011,Crook North and Tow Law,E05007975,3131,346,672,989,1124
2011,Crook South,E05007976,4282,470,1068,1118,1626
2011,Dawdon,E05007977,5424,647,1509,1179,2089
2011,Deerness Valley,E05007978,3486,509,806,851,1320
2011,Delves Lane and Consett South,E05007979,6204,673,1395,1699,2437
2011,Deneside,E05007980,2605,176,560,600,1269
2011,Durham South,E05007981,3593,758,890,893,1052
2011,Easington,E05007982,4306,520,1002,1110,1674
2011,Elvet,E05007983,12586,3700,5583,1667,1636
2011,Esh,E05007984,2743,457,633,804,849
2011,Evenwood,E05007985,3608,538,784,1210,1076
2011,Ferryhill,E05007986,3797,404,758,1023,1612
2011,Framwellgate Moor,E05007987,10119,2237,3892,1951,2039
2011,Gilesgate,E05007988,7226,1179,2320,1384,2343
2011,Horden,E05007989,3540,243,712,786,1799
2011,Lanchester,E05007990,4009,803,967,1079,1160
2011,Leadgate and Medomsley,E05007991,4316,651,1073,1096,1496
